2015-06-25,1671.36,1678.26,1670.00,1670.91
2015-06-24,1683.46,1686.61,1679.53,1679.89
2015-06-23,1660.89,1676.40,1658.64,1676.40
2015-06-22,1630.87,1649.21,1630.87,1648.61
2015-06-19,1630.18,1635.04,1625.02,1631.01
2015-06-18,1631.85,1632.49,1616.66,1616.66
2015-06-17,1645.00,1646.45,1629.35,1633.70
2015-06-16,1646.10,1649.32,1637.58,1639.86
2015-06-15,1638.10,1653.19,1637.62,1651.92
2015-06-12,1653.55,1653.55,1645.52,1651.48
2015-06-11,1640.27,1651.93,1639.43,1648.88
2015-06-10,1635.06,1646.78,1627.11,1628.23
2015-06-09,1649.08,1652.86,1634.13,1634.37
2015-06-08,1672.69,1673.16,1657.99,1661.99
2015-06-05,1664.45,1668.96,1658.99,1667.06
2015-06-04,1674.38,1676.69,1669.31,1673.89
2015-06-03,1668.49,1673.74,1663.84,1669.99
2015-06-02,1682.48,1683.19,1669.85,1674.21
2015-06-01,1662.55,1680.40,1661.72,1678.56
2015-05-29,1671.14,1680.39,1669.93,1673.65
2015-05-28,1671.14,1679.78,1667.30,1672.76
2015-05-27,1655.72,1665.49,1653.23,1661.33
2015-05-26,1659.99,1662.75,1656.23,1659.57
2015-05-25,1655.80,1660.37,1653.17,1659.15
2015-05-22,1647.91,1648.51,1638.52,1647.85
2015-05-21,1646.78,1656.05,1643.39,1646.80
2015-05-20,1644.43,1650.85,1641.18,1643.40
2015-05-19,1631.50,1638.02,1629.50,1633.33
2015-05-18,1612.36,1626.66,1611.91,1626.66
2015-05-15,1601.05,1608.07,1595.46,1607.11
2015-05-14,1597.42,1601.74,1589.78,1591.49
2015-05-13,1595.28,1605.91,1589.35,1604.21
2015-05-12,1600.02,1602.27,1587.27,1602.27
2015-05-11,1608.67,1612.43,1597.26,1598.33
2015-05-08,1576.78,1592.59,1574.62,1587.76
2015-05-07,1574.61,1585.59,1571.43,1574.64
2015-05-01,1587.07,1590.08,1573.31,1585.61
2015-04-30,1612.58,1613.60,1587.67,1592.79
2015-04-28,1623.89,1630.53,1623.62,1627.43
2015-04-27,1621.29,1622.76,1612.50,1619.07
2015-04-24,1623.81,1625.17,1616.53,1618.84
2015-04-23,1631.14,1633.81,1616.23,1624.87
2015-04-22,1613.86,1625.98,1612.36,1621.79
2015-04-21,1590.64,1608.88,1588.26,1608.88
2015-04-20,1574.90,1591.14,1569.29,1582.68
2015-04-17,1594.88,1598.24,1587.22,1588.69
2015-04-16,1589.63,1599.42,1582.34,1599.42
2015-04-15,1584.91,1593.44,1584.73,1588.81
2015-04-14,1583.07,1591.65,1583.05,1590.82
