日付,始値,高値,安値,終値,出来高,売買代金
2013-12-30,864.00,864.00,828.00,845.00,1297800,1104370700
2013-12-27,845.00,866.00,841.00,862.00,2496000,2140878100
2013-12-26,839.00,850.00,819.00,827.00,1458300,1212911700
2013-12-25,805.00,839.00,801.00,832.00,3637800,2999117400
2013-12-24,783.00,793.00,778.00,781.00,821900,646285400
2013-12-20,775.00,794.00,771.00,792.00,1768900,1386172600
2013-12-19,789.00,799.00,775.00,788.00,2808500,2206625600
2013-12-18,825.00,831.00,783.00,789.00,2123000,1700925300
2013-12-17,822.00,838.00,811.00,837.00,1248700,1031679500
2013-12-16,831.00,848.00,817.00,831.00,1344300,1111985500
2013-12-13,859.00,860.00,823.00,823.00,2665500,2226298100
2013-12-12,863.00,867.00,845.00,861.00,1799600,1540650400
2013-12-11,880.00,880.00,862.00,870.00,1422300,1236403900
2013-12-10,894.00,905.00,871.00,882.00,2477900,2191442800
2013-12-09,849.00,918.00,838.00,909.00,6209800,5488417800
2013-12-06,814.00,836.00,813.00,834.00,4395800,3627009000
2013-12-05,810.00,814.00,792.00,799.00,2049400,1637229000
2013-12-04,800.00,819.00,797.00,814.00,1791400,1449726500
2013-12-03,814.00,819.00,800.00,812.00,1221800,990880500
2013-12-02,810.00,827.00,802.00,814.00,1268700,1031047700
2013-11-29,787.00,808.00,775.00,807.00,1440400,1150067300
2013-11-28,797.00,803.00,781.00,789.00,1146000,907262300
2013-11-27,802.00,813.00,788.00,793.00,1809400,1445780700
2013-11-26,786.00,817.00,781.00,808.00,2574700,2056443600
2013-11-25,784.00,807.00,772.00,793.00,3320400,2628892500
2013-11-22,770.00,786.00,755.00,781.00,3224600,2486189200
2013-11-21,742.00,764.00,742.00,758.00,2438800,1837769600
2013-11-20,751.00,754.00,736.00,742.00,2624100,1955569500
2013-11-19,772.00,772.00,737.00,746.00,4387600,3298290500
2013-11-18,779.00,796.00,762.00,779.00,6141100,4783930800
2013-11-15,728.00,761.00,724.00,756.00,6684400,4970791300
2013-11-14,728.00,764.00,695.00,743.00,18170200,13368414400
2013-11-13,690.00,726.00,687.00,726.00,19733500,14005062600
2013-11-12,601.00,629.00,601.00,626.00,5292100,3252177100
2013-11-11,532.00,615.00,532.00,601.00,14086500,8342016600
2013-11-08,520.00,520.00,513.00,516.00,501200,258701600
2013-11-07,531.00,531.00,517.00,520.00,662900,345470400
2013-11-06,527.00,531.00,524.00,528.00,427400,225656300
2013-11-05,525.00,535.00,522.00,528.00,1012300,535572300
2013-11-01,521.00,528.00,513.00,522.00,778800,405711200
2013-10-31,528.00,529.00,519.00,520.00,525900,275509100
2013-10-30,534.00,536.00,526.00,529.00,918300,486052500
2013-10-29,537.00,539.00,526.00,531.00,923100,489475800
2013-10-28,545.00,549.00,532.00,537.00,881000,472725900
2013-10-25,554.00,557.00,538.00,542.00,922200,501440700
2013-10-24,553.00,556.00,545.00,553.00,481700,264747100
2013-10-23,565.00,568.00,553.00,553.00,571400,319860800
2013-10-22,566.00,570.00,565.00,566.00,288200,163338700
2013-10-21,561.00,571.00,561.00,571.00,480900,272566300
2013-10-18,560.00,572.00,558.00,568.00,556700,315633300
2013-10-17,562.00,567.00,553.00,560.00,426500,237943400
2013-10-16,568.00,570.00,555.00,561.00,325100,181920800
2013-10-15,578.00,579.00,557.00,567.00,650800,367243700
2013-10-11,570.00,579.00,569.00,576.00,1139700,654818800
2013-10-10,568.00,571.00,562.00,569.00,881300,498413000
2013-10-09,550.00,567.00,543.00,566.00,597900,334269800
2013-10-08,534.00,557.00,534.00,553.00,599700,328658600
2013-10-07,552.00,556.00,536.00,539.00,606400,328575200
2013-10-04,548.00,548.00,538.00,546.00,510300,277210300
2013-10-03,556.00,560.00,552.00,553.00,475900,264409700
2013-10-02,570.00,573.00,550.00,553.00,868000,485441200
2013-10-01,570.00,572.00,561.00,568.00,537900,304745100
2013-09-30,570.00,572.00,565.00,567.00,528300,300111700
2013-09-27,578.00,578.00,571.00,575.00,557100,319824000
2013-09-26,574.00,579.00,564.00,579.00,621300,355534300
2013-09-25,580.00,585.00,577.00,584.00,1316600,765280600
2013-09-24,575.00,580.00,571.00,576.00,511000,293911800
2013-09-20,583.00,583.00,572.00,574.00,524600,301683500
2013-09-19,584.00,588.00,578.00,582.00,504800,293766000
2013-09-18,575.00,584.00,574.00,580.00,507200,294020800
2013-09-17,575.00,577.00,569.00,571.00,316400,180819600
2013-09-13,573.00,580.00,563.00,568.00,489600,278898000
2013-09-12,584.00,584.00,571.00,576.00,355800,204931000
2013-09-11,593.00,593.00,579.00,581.00,425100,248922600
2013-09-10,569.00,588.00,567.00,586.00,785500,455213300
2013-09-09,565.00,568.00,557.00,567.00,587800,330680900
2013-09-06,558.00,560.00,547.00,553.00,479300,264285600
2013-09-05,566.00,567.00,556.00,557.00,351500,196564700
2013-09-04,567.00,567.00,556.00,565.00,445700,250175200
2013-09-03,564.00,568.00,561.00,566.00,297700,168288200
2013-09-02,554.00,561.00,552.00,558.00,272500,151924400
2013-08-30,554.00,562.00,550.00,553.00,507800,281733700
2013-08-29,559.00,560.00,547.00,551.00,723400,398319500
2013-08-28,560.00,561.00,546.00,558.00,709500,392375400
2013-08-27,562.00,570.00,560.00,562.00,708200,400051000
2013-08-26,560.00,563.00,556.00,560.00,329100,184296700
2013-08-23,551.00,558.00,551.00,557.00,273200,151604900
2013-08-22,551.00,553.00,545.00,549.00,264500,144991200
2013-08-21,552.00,554.00,541.00,550.00,316200,173212300
2013-08-20,554.00,565.00,549.00,550.00,459600,255902600
2013-08-19,535.00,556.00,535.00,554.00,595900,327417500
2013-08-16,540.00,542.00,535.00,540.00,957000,515535500
2013-08-15,557.00,568.00,549.00,550.00,643100,357704500
2013-08-14,564.00,564.00,552.00,562.00,690300,385736400
2013-08-13,552.00,554.00,535.00,553.00,961700,525046000
2013-08-12,584.00,584.00,544.00,550.00,1896600,1055350600
2013-08-09,601.00,620.00,587.00,591.00,788500,472564500
2013-08-08,600.00,612.00,583.00,606.00,2033600,1218128800
2013-08-07,580.00,584.00,570.00,571.00,565300,324551900
2013-08-06,587.00,595.00,576.00,590.00,503900,294751000
2013-08-05,585.00,590.00,581.00,585.00,313100,183430000
2013-08-02,586.00,592.00,574.00,587.00,448900,262644600
2013-08-01,581.00,586.00,564.00,573.00,1168800,667473900
2013-07-31,600.00,600.00,581.00,583.00,472800,277819500
2013-07-30,584.00,607.00,584.00,600.00,469400,280861000
2013-07-29,602.00,604.00,582.00,586.00,750300,443568000
2013-07-26,615.00,627.00,615.00,617.00,632700,392041900
2013-07-25,613.00,627.00,610.00,620.00,961500,594234300
2013-07-24,615.00,624.00,612.00,616.00,359400,221140400
2013-07-23,606.00,611.00,602.00,610.00,329200,200154500
2013-07-22,609.00,612.00,600.00,605.00,496900,299759900
2013-07-19,633.00,638.00,603.00,606.00,1481000,910154400
2013-07-18,653.00,654.00,632.00,633.00,857300,548563900
2013-07-17,639.00,649.00,633.00,642.00,701000,450955900
2013-07-16,630.00,652.00,628.00,639.00,792200,508153900
2013-07-12,650.00,653.00,626.00,627.00,1065800,675395100
2013-07-11,622.00,655.00,618.00,650.00,1307400,838198000
2013-07-10,619.00,634.00,616.00,622.00,638700,400169900
2013-07-09,618.00,622.00,612.00,613.00,714500,440338300
2013-07-08,631.00,639.00,609.00,611.00,867600,538976100
2013-07-05,627.00,630.00,622.00,626.00,581300,363815900
2013-07-04,622.00,628.00,617.00,625.00,744000,463621900
2013-07-03,627.00,630.00,621.00,625.00,466100,291684000
2013-07-02,623.00,629.00,617.00,626.00,661100,412649600
2013-07-01,608.00,621.00,598.00,618.00,735600,450909400
2013-06-28,573.00,604.00,573.00,602.00,882500,523853200
2013-06-27,560.00,569.00,542.00,569.00,525400,294111200
2013-06-26,580.00,580.00,552.00,553.00,494000,277144700
2013-06-25,575.00,583.00,564.00,574.00,532800,304951800
2013-06-24,582.00,587.00,573.00,575.00,419900,243070500
2013-06-21,575.00,580.00,561.00,576.00,764700,436327500
2013-06-20,581.00,593.00,577.00,580.00,643600,375643500
2013-06-19,595.00,596.00,577.00,585.00,434500,253891700
2013-06-18,590.00,607.00,583.00,585.00,1472200,872141800
2013-06-17,577.00,594.00,576.00,588.00,637900,374250800
2013-06-14,596.00,597.00,573.00,576.00,968500,567094000
2013-06-13,592.00,593.00,565.00,571.00,1069300,619250700
2013-06-12,584.00,606.00,564.00,602.00,1408700,825409800
2013-06-11,607.00,616.00,591.00,594.00,1197100,720780000
2013-06-10,582.00,609.00,577.00,607.00,1675200,997955600
2013-06-07,549.00,580.00,543.00,569.00,1116100,626935500
2013-06-06,588.00,594.00,566.00,569.00,1290800,746581300
2013-06-05,628.00,640.00,590.00,593.00,1760300,1076227300
2013-06-04,605.00,630.00,588.00,626.00,1238900,760405900
2013-06-03,609.00,635.00,601.00,604.00,1249400,769226200
2013-05-31,634.00,653.00,617.00,628.00,1165000,734594000
2013-05-30,658.00,662.00,616.00,620.00,1359800,867410300
2013-05-29,662.00,675.00,645.00,667.00,888300,589037700
2013-05-28,664.00,685.00,642.00,652.00,1023300,672203700
2013-05-27,672.00,686.00,653.00,664.00,784300,525998400
2013-05-24,682.00,722.00,650.00,692.00,1379300,956236500
2013-05-23,725.00,736.00,681.00,681.00,2124600,1493139400
2013-05-22,733.00,749.00,726.00,731.00,823000,607111700
2013-05-21,751.00,751.00,718.00,731.00,1269000,928458700
2013-05-20,755.00,761.00,736.00,738.00,1016400,756486600
2013-05-17,736.00,759.00,723.00,746.00,913800,680646700
2013-05-16,746.00,750.00,707.00,742.00,1233300,902742400
2013-05-15,778.00,788.00,742.00,751.00,1679200,1276501000
2013-05-14,800.00,801.00,748.00,781.00,2520700,1952061200
2013-05-13,742.00,817.00,688.00,812.00,5623300,4240226600
2013-05-10,825.00,827.00,761.00,824.00,1825400,1463546800
2013-05-09,848.00,854.00,817.00,820.00,481700,401094000
2013-05-08,860.00,865.00,821.00,838.00,955800,805703000
2013-05-07,835.00,857.00,835.00,850.00,701200,595197100
2013-05-02,810.00,828.00,810.00,820.00,615900,505350300
2013-05-01,809.00,832.00,804.00,808.00,1219000,996191500
2013-04-30,790.00,828.00,770.00,816.00,1284500,1035002600
2013-04-26,876.00,877.00,778.00,784.00,2680600,2210266900
2013-04-25,847.00,888.00,844.00,880.00,1579800,1367198900
2013-04-24,867.00,868.00,826.00,849.00,2011700,1705036900
2013-04-23,770.00,868.00,770.00,846.00,3898200,3247072400
2013-04-22,743.00,776.00,742.00,775.00,1230400,936106700
2013-04-19,730.00,740.00,724.00,735.00,470100,344962300
2013-04-18,729.00,738.00,716.00,723.00,607700,442016300
2013-04-17,720.00,740.00,720.00,737.00,580900,425652200
2013-04-16,712.00,725.00,706.00,717.00,561400,401778100
2013-04-15,727.00,731.00,714.00,720.00,413400,297930200
2013-04-12,731.00,735.00,720.00,728.00,476400,346181300
2013-04-11,732.00,743.00,723.00,740.00,1293300,950669800
2013-04-10,725.00,733.00,706.00,720.00,1183600,848938400
2013-04-09,692.00,748.00,680.00,721.00,3486300,2503501000
2013-04-08,673.00,697.00,673.00,695.00,733700,502953100
