日付,始値,高値,安値,終値,出来高,売買代金
2011-12-30,492.00,505.00,491.00,500.00,1810700,905306200
2011-12-29,498.00,498.00,488.00,493.00,765700,377035800
2011-12-28,495.00,500.00,492.00,496.00,956300,474387200
2011-12-27,495.00,501.00,488.00,498.00,1812800,895991500
2011-12-26,507.00,509.00,496.00,499.00,1855300,929806700
2011-12-22,499.00,514.00,498.00,505.00,3094300,1569488500
2011-12-21,496.00,507.00,490.00,503.00,4229300,2110904200
2011-12-20,469.00,501.00,464.00,497.00,4488800,2200976900
2011-12-19,465.00,473.00,457.00,470.00,2315800,1081931100
2011-12-16,476.00,480.00,457.00,460.00,2424000,1127851200
2011-12-15,494.00,499.00,471.00,473.00,3065800,1477751200
2011-12-14,482.00,505.00,480.00,491.00,4758600,2360161500
2011-12-13,474.00,484.00,471.00,480.00,1576400,754831600
2011-12-12,477.00,483.00,473.00,481.00,1492200,714791500
2011-12-09,478.00,479.00,469.00,470.00,2005500,948034700
2011-12-08,471.00,487.00,467.00,484.00,2342400,1126507200
2011-12-07,472.00,476.00,461.00,473.00,2184900,1025564500
2011-12-06,482.00,484.00,467.00,471.00,1996200,951681200
2011-12-05,479.00,486.00,476.00,485.00,1734600,836296200
2011-12-02,472.00,478.00,467.00,472.00,1939700,917374300
2011-12-01,470.00,479.00,463.00,471.00,3419300,1614381300
2011-11-30,449.00,470.00,447.00,452.00,4678800,2145330300
2011-11-29,461.00,464.00,438.00,445.00,3372800,1516664400
2011-11-28,444.00,465.00,437.00,453.00,2268500,1025920000
2011-11-25,441.00,449.00,431.00,441.00,1576200,695750700
2011-11-24,449.00,458.00,439.00,440.00,2029500,905925600
2011-11-22,442.00,466.00,440.00,457.00,3707100,1686221400
2011-11-21,476.00,478.00,452.00,452.00,3265600,1506282900
2011-11-18,477.00,490.00,474.00,482.00,2642900,1266974800
2011-11-17,483.00,486.00,470.00,483.00,3532500,1692542600
2011-11-16,490.00,498.00,474.00,478.00,6342200,3055180200
2011-11-15,530.00,531.00,502.00,508.00,4992300,2552492800
2011-11-14,540.00,552.00,532.00,537.00,2808400,1521175500
2011-11-11,565.00,596.00,528.00,534.00,5815900,3251483400
2011-11-10,579.00,579.00,564.00,574.00,1573600,899796900
2011-11-09,586.00,596.00,583.00,587.00,1437100,846964900
2011-11-08,586.00,603.00,578.00,583.00,3471300,2061199800
2011-11-07,575.00,590.00,572.00,587.00,1525400,888838600
2011-11-04,565.00,574.00,555.00,573.00,1190500,674907600
2011-11-02,553.00,560.00,548.00,557.00,1207800,670426500
2011-11-01,573.00,581.00,557.00,559.00,1697800,964196000
2011-10-31,583.00,589.00,577.00,580.00,1568200,913094700
2011-10-28,574.00,581.00,567.00,581.00,1598000,917490400
2011-10-27,569.00,575.00,558.00,564.00,1340300,756084400
2011-10-26,563.00,565.00,546.00,563.00,2380200,1327825300
2011-10-25,588.00,588.00,572.00,575.00,1365000,790800200
2011-10-24,567.00,590.00,565.00,587.00,2439100,1415828400
2011-10-21,567.00,573.00,548.00,555.00,1837500,1025817000
2011-10-20,560.00,580.00,559.00,574.00,2215800,1267502000
2011-10-19,586.00,590.00,560.00,563.00,2826800,1608176500
2011-10-18,587.00,599.00,585.00,587.00,995900,588276900
2011-10-17,605.00,607.00,591.00,593.00,1225600,733211500
2011-10-14,593.00,608.00,583.00,602.00,2831900,1692102100
2011-10-13,607.00,610.00,594.00,596.00,2371100,1426455700
2011-10-12,607.00,616.00,596.00,606.00,2800800,1704584300
2011-10-11,621.00,625.00,601.00,604.00,2824300,1718664000
2011-10-07,632.00,634.00,598.00,614.00,5247400,3211426000
2011-10-06,611.00,624.00,606.00,619.00,4413700,2724122600
2011-10-05,603.00,624.00,593.00,615.00,7960100,4851553800
2011-10-04,560.00,602.00,554.00,597.00,5636200,3295189200
