日付,始値,高値,安値,終値,出来高,売買代金
2007-12-28,221000.00,223000.00,217000.00,223000.00,1964,431725000
2007-12-27,222000.00,222000.00,217000.00,222000.00,2647,582059000
2007-12-26,212000.00,223000.00,206000.00,222000.00,6218,1338249000
2007-12-25,217000.00,219000.00,211000.00,213000.00,2605,556734000
2007-12-21,218000.00,220000.00,212000.00,214000.00,4727,1014853000
2007-12-20,222000.00,229000.00,217000.00,219000.00,6583,1468025000
2007-12-19,226000.00,227000.00,217000.00,218000.00,7765,1723904000
2007-12-18,234000.00,235000.00,228000.00,229000.00,3360,773991000
2007-12-17,240000.00,242000.00,233000.00,234000.00,4455,1054900000
2007-12-14,244000.00,244000.00,239000.00,239000.00,3502,845725000
2007-12-13,247000.00,250000.00,239000.00,241000.00,6544,1583165000
2007-12-12,240000.00,252000.00,238000.00,248000.00,8697,2140196000
2007-12-11,251000.00,254000.00,236000.00,241000.00,16183,3926487000
2007-12-10,253000.00,264000.00,249000.00,249000.00,18669,4735820000
2007-12-07,276000.00,290000.00,275000.00,289000.00,10853,3096868000
2007-12-06,275000.00,277000.00,269000.00,274000.00,1786,487227000
2007-12-05,270000.00,279000.00,269000.00,271000.00,3767,1029115000
2007-12-04,266000.00,271000.00,265000.00,267000.00,3043,815434000
2007-12-03,271000.00,274000.00,268000.00,270000.00,2463,666422000
2007-11-30,271000.00,274000.00,268000.00,268000.00,5010,1353633000
2007-11-29,263000.00,278000.00,263000.00,274000.00,6257,1706645000
2007-11-28,261000.00,263000.00,256000.00,260000.00,1495,387283000
2007-11-27,260000.00,263000.00,251000.00,259000.00,3372,866681000
2007-11-26,258000.00,268000.00,258000.00,264000.00,2905,766410000
2007-11-22,244000.00,260000.00,242000.00,258000.00,5258,1327969000
2007-11-21,254000.00,257000.00,240000.00,243000.00,4966,1233415000
2007-11-20,250000.00,257000.00,248000.00,255000.00,3204,809803000
2007-11-19,268000.00,271000.00,256000.00,257000.00,3025,792601000
2007-11-16,258000.00,270000.00,257000.00,268000.00,4016,1063372000
2007-11-15,266000.00,272000.00,257000.00,260000.00,7991,2109942000
2007-11-14,250000.00,268000.00,246000.00,266000.00,7322,1899127000
2007-11-13,236000.00,244000.00,236000.00,239000.00,3473,831626000
2007-11-12,240000.00,242000.00,235000.00,237000.00,3020,717766000
2007-11-09,253000.00,255000.00,243000.00,244000.00,1812,450261000
2007-11-08,245000.00,252000.00,243000.00,252000.00,3739,928016000
2007-11-07,259000.00,263000.00,247000.00,247000.00,2721,685252000
2007-11-06,254000.00,262000.00,253000.00,257000.00,2098,542008000
2007-11-05,265000.00,268000.00,257000.00,258000.00,3271,854150000
2007-11-02,271000.00,275000.00,266000.00,269000.00,2757,746148000
2007-11-01,273000.00,281000.00,273000.00,278000.00,4640,1288387000
2007-10-31,264000.00,272000.00,261000.00,272000.00,3961,1060552000
2007-10-30,272000.00,285000.00,258000.00,265000.00,18422,4968917000
2007-10-29,263000.00,268000.00,261000.00,262000.00,2915,771695000
2007-10-26,260000.00,262000.00,256000.00,261000.00,2410,625248000
2007-10-25,249000.00,268000.00,246000.00,260000.00,10757,2788934000
2007-10-24,250000.00,255000.00,246000.00,247000.00,4108,1029421000
2007-10-23,241000.00,258000.00,240000.00,249000.00,6583,1642991000
2007-10-22,233000.00,237000.00,231000.00,234000.00,2573,602330000
2007-10-19,243000.00,245000.00,240000.00,242000.00,3134,760650000
2007-10-18,237000.00,244000.00,236000.00,243000.00,3006,723161000
2007-10-17,242000.00,243000.00,231000.00,236000.00,3883,915026000
2007-10-16,243000.00,248000.00,238000.00,238000.00,3434,827168000
2007-10-15,245000.00,250000.00,241000.00,244000.00,2532,617202000
2007-10-12,247000.00,247000.00,241000.00,242000.00,4141,1008395000
2007-10-11,251000.00,253000.00,245000.00,246000.00,3568,883922000
2007-10-10,254000.00,258000.00,251000.00,253000.00,2563,651864000
2007-10-09,255000.00,261000.00,250000.00,252000.00,3323,846867000
2007-10-05,255000.00,259000.00,251000.00,253000.00,2794,708330000
2007-10-04,261000.00,262000.00,258000.00,259000.00,1467,380478000
2007-10-03,262000.00,267000.00,255000.00,265000.00,4483,1176109000
2007-10-02,259000.00,264000.00,258000.00,260000.00,3100,807072000
2007-10-01,255000.00,261000.00,247000.00,256000.00,2938,753098000
2007-09-28,268000.00,268000.00,251000.00,254000.00,4991,1279464000
2007-09-27,255000.00,266000.00,253000.00,264000.00,6345,1654242000
2007-09-26,234000.00,249000.00,234000.00,247000.00,4457,1084501000
2007-09-25,231000.00,232000.00,224000.00,231000.00,4628,1053231000
2007-09-21,226000.00,229000.00,223000.00,225000.00,3557,800706000
2007-09-20,234000.00,236000.00,230000.00,230000.00,2616,608138000
2007-09-19,243000.00,245000.00,233000.00,237000.00,5437,1290605000
2007-09-18,242000.00,242000.00,234000.00,236000.00,3991,946380000
2007-09-14,247000.00,251000.00,245000.00,248000.00,4842,1199239000
2007-09-13,249000.00,249000.00,245000.00,247000.00,1730,425972000
2007-09-12,252000.00,257000.00,248000.00,250000.00,5424,1369002000
2007-09-11,257000.00,258000.00,249000.00,250000.00,5850,1476977000
2007-09-10,263000.00,263000.00,257000.00,259000.00,5286,1372144000
2007-09-07,273000.00,274000.00,268000.00,270000.00,3694,998989000
2007-09-06,265000.00,272000.00,258000.00,267000.00,4132,1097961000
2007-09-05,269000.00,272000.00,264000.00,266000.00,5928,1583843000
2007-09-04,273000.00,275000.00,269000.00,271000.00,2951,801648000
2007-09-03,276000.00,282000.00,268000.00,274000.00,5188,1429277000
2007-08-31,263000.00,273000.00,262000.00,272000.00,6266,1671296000
2007-08-30,259000.00,260000.00,256000.00,259000.00,4018,1038404000
2007-08-29,251000.00,256000.00,244000.00,255000.00,4739,1193075000
2007-08-28,253000.00,260000.00,253000.00,259000.00,2765,706821000
2007-08-27,254000.00,257000.00,253000.00,255000.00,3179,809513000
2007-08-24,253000.00,253000.00,249000.00,252000.00,3899,980380000
2007-08-23,246000.00,255000.00,241000.00,255000.00,7397,1833898000
2007-08-22,235000.00,246000.00,231000.00,243000.00,6968,1680045000
2007-08-21,228000.00,234000.00,228000.00,231000.00,3127,723474000
2007-08-20,227000.00,233000.00,226000.00,227000.00,4196,957249000
2007-08-17,236000.00,236000.00,219000.00,219000.00,5575,1264057000
2007-08-16,239000.00,240000.00,226000.00,234000.00,7167,1656295000
2007-08-15,245000.00,245000.00,236000.00,240000.00,7017,1685455000
2007-08-14,254000.00,254000.00,242000.00,245000.00,5873,1442002000
2007-08-13,273000.00,273000.00,253000.00,254000.00,10784,2787697000
2007-08-10,278000.00,293000.00,270000.00,273000.00,14609,4110488000
2007-08-09,266000.00,284000.00,258000.00,282000.00,17649,4839850000
2007-08-08,268000.00,271000.00,253000.00,259000.00,12375,3217807000
2007-08-07,268000.00,272000.00,265000.00,267000.00,3788,1012448000
2007-08-06,263000.00,271000.00,255000.00,265000.00,5030,1335809000
2007-08-03,277000.00,278000.00,269000.00,270000.00,6279,1706310000
2007-08-02,272000.00,283000.00,269000.00,279000.00,10991,3039988000
2007-08-01,264000.00,276000.00,262000.00,272000.00,8326,2256515000
2007-07-31,274000.00,276000.00,267000.00,268000.00,6773,1832888000
2007-07-30,278000.00,280000.00,267000.00,276000.00,4635,1271238000
2007-07-27,271000.00,282000.00,269000.00,277000.00,8247,2280378000
2007-07-26,268000.00,276000.00,267000.00,273000.00,7495,2040182000
2007-07-25,266000.00,269000.00,265000.00,267000.00,3703,988991000
2007-07-24,266000.00,270000.00,265000.00,270000.00,3359,900901000
2007-07-23,270000.00,273000.00,267000.00,269000.00,3398,915209000
2007-07-20,275000.00,275000.00,271000.00,273000.00,2476,675680000
2007-07-19,273000.00,277000.00,271000.00,272000.00,3191,872150000
2007-07-18,271000.00,279000.00,271000.00,273000.00,5787,1579510000
2007-07-17,278000.00,279000.00,270000.00,274000.00,8816,2415892000
2007-07-13,288000.00,288000.00,279000.00,282000.00,7289,2063213000
2007-07-12,283000.00,295000.00,277000.00,284000.00,16919,4861750000
2007-07-11,271000.00,286000.00,270000.00,282000.00,16628,4670929000
2007-07-10,272000.00,278000.00,266000.00,275000.00,21349,5819322000
2007-07-09,257000.00,290000.00,255000.00,273000.00,51071,14101049000
2007-07-06,242000.00,257000.00,241000.00,253000.00,20180,5055272000
2007-07-05,226000.00,232000.00,226000.00,231000.00,4418,1015812000
2007-07-04,228000.00,228000.00,223000.00,227000.00,2498,562837000
2007-07-03,234000.00,234000.00,224000.00,226000.00,3662,834264000
2007-07-02,225000.00,231000.00,223000.00,231000.00,4531,1034202000
2007-06-29,222000.00,224000.00,219000.00,224000.00,3213,710909000
2007-06-28,216000.00,223000.00,216000.00,221000.00,3386,746517000
2007-06-27,220000.00,221000.00,214000.00,214000.00,3221,697708000
2007-06-26,224000.00,228000.00,218000.00,220000.00,3508,778399000
2007-06-25,219000.00,226000.00,219000.00,223000.00,4563,1018139000
2007-06-22,218000.00,220000.00,218000.00,219000.00,2498,547321000
2007-06-21,221000.00,222000.00,217000.00,217000.00,2995,656337000
2007-06-20,219000.00,223000.00,217000.00,222000.00,4283,945642000
