日付,始値,高値,安値,終値,出来高,売買代金
2008-12-30,148.00,151.00,146.00,149.00,2316000,344681000
2008-12-29,145.00,147.00,144.00,147.00,3490000,507587000
2008-12-26,142.00,147.00,141.00,147.00,4954000,715647000
2008-12-25,142.00,144.00,140.00,142.00,4641000,657837000
2008-12-24,148.00,149.00,143.00,143.00,6104000,885274000
2008-12-22,151.00,154.00,149.00,150.00,4700000,708696000
2008-12-19,148.00,154.00,145.00,152.00,10566000,1595816000
2008-12-18,143.00,147.00,138.00,146.00,7321000,1051972000
2008-12-17,155.00,155.00,142.00,145.00,12631000,1859437000
2008-12-16,155.00,156.00,150.00,151.00,7989000,1220899000
2008-12-15,151.00,160.00,150.00,157.00,10636000,1655499000
2008-12-12,162.00,163.00,145.00,147.00,19384000,2993873000
2008-12-11,159.00,165.00,156.00,165.00,9887000,1595467000
2008-12-10,145.00,161.00,144.00,157.00,17255000,2658614000
2008-12-09,149.00,151.00,144.00,146.00,11271000,1663766000
2008-12-08,136.00,147.00,135.00,145.00,10913000,1543961000
2008-12-05,135.00,136.00,132.00,134.00,9208000,1236523000
2008-12-04,145.00,147.00,132.00,136.00,14969000,2083453000
2008-12-03,147.00,149.00,144.00,146.00,13208000,1932117000
2008-12-02,150.00,150.00,142.00,142.00,16974000,2477089000
2008-12-01,161.00,163.00,153.00,155.00,13372000,2080736000
2008-11-28,158.00,164.00,156.00,164.00,9998000,1603793000
2008-11-27,163.00,166.00,154.00,156.00,10135000,1611875000
2008-11-26,163.00,169.00,160.00,160.00,8523000,1396924000
2008-11-25,178.00,178.00,164.00,171.00,9055000,1544362000
2008-11-21,156.00,170.00,152.00,168.00,13734000,2196822000
2008-11-20,170.00,172.00,163.00,163.00,14172000,2362053000
2008-11-19,183.00,192.00,178.00,182.00,22568000,4170902000
2008-11-18,168.00,185.00,167.00,184.00,22042000,3922490000
2008-11-17,167.00,180.00,165.00,173.00,13230000,2282938000
2008-11-14,184.00,184.00,167.00,170.00,14592000,2544529000
2008-11-13,170.00,171.00,165.00,165.00,13732000,2303209000
2008-11-12,183.00,187.00,175.00,176.00,12406000,2240996000
2008-11-11,196.00,198.00,190.00,190.00,9729000,1895888000
2008-11-10,202.00,205.00,191.00,196.00,18685000,3670900000
2008-11-07,195.00,203.00,189.00,194.00,19451000,3810859000
2008-11-06,220.00,228.00,215.00,215.00,22581000,5013985000
2008-11-05,234.00,244.00,228.00,238.00,18626000,4383409000
2008-11-04,220.00,225.00,215.00,220.00,15587000,3412389000
2008-10-31,227.00,229.00,212.00,213.00,21376000,4734396000
2008-10-30,204.00,248.00,202.00,247.00,25185000,5776657000
2008-10-29,206.00,206.00,187.00,198.00,17014000,3338674000
2008-10-28,167.00,182.00,161.00,176.00,24234000,4129590000
2008-10-27,191.00,203.00,163.00,165.00,22961000,4210778000
2008-10-24,215.00,215.00,197.00,200.00,17139000,3517274000
2008-10-23,220.00,223.00,200.00,220.00,29719000,6308938000
2008-10-22,281.00,282.00,247.00,247.00,15834000,4119678000
2008-10-21,282.00,285.00,279.00,284.00,8642000,2438996000
2008-10-20,281.00,287.00,274.00,277.00,10027000,2787494000
2008-10-17,299.00,302.00,272.00,276.00,13072000,3691264000
2008-10-16,265.00,282.00,258.00,279.00,19000000,5167151000
2008-10-15,294.00,295.00,271.00,285.00,16577000,4702364000
2008-10-14,348.00,348.00,311.00,314.00,14542000,4668460000
2008-10-10,268.00,297.00,268.00,288.00,14692000,4126723000
2008-10-09,292.00,326.00,285.00,309.00,15694000,4814105000
2008-10-08,305.00,314.00,278.00,292.00,15571000,4556242000
2008-10-07,305.00,328.00,303.00,320.00,20918000,6614677000
2008-10-06,350.00,350.00,334.00,340.00,9815000,3351358000
2008-10-03,371.00,371.00,342.00,359.00,17530000,6271361000
2008-10-02,406.00,407.00,358.00,365.00,17583000,6577959000
2008-10-01,428.00,429.00,408.00,414.00,10259000,4266095000
2008-09-30,394.00,423.00,391.00,418.00,8596000,3541185000
2008-09-29,454.00,456.00,417.00,419.00,12215000,5216667000
2008-09-26,472.00,475.00,447.00,455.00,7591000,3482804000
2008-09-25,469.00,478.00,456.00,467.00,9124000,4255565000
2008-09-24,476.00,487.00,463.00,470.00,7841000,3702330000
2008-09-22,483.00,496.00,470.00,475.00,10783000,5149451000
2008-09-19,459.00,472.00,459.00,463.00,11563000,5378227000
2008-09-18,437.00,450.00,430.00,450.00,12349000,5420701000
2008-09-17,461.00,461.00,438.00,442.00,10432000,4670472000
2008-09-16,429.00,440.00,423.00,439.00,14010000,6039393000
2008-09-12,463.00,470.00,432.00,449.00,31718000,14272480000
2008-09-11,504.00,506.00,463.00,463.00,24066000,11479243000
2008-09-10,487.00,524.00,485.00,517.00,15960000,8158326000
2008-09-09,535.00,537.00,492.00,502.00,18075000,9144585000
2008-09-08,532.00,545.00,532.00,543.00,12381000,6661340000
2008-09-05,547.00,548.00,522.00,527.00,20655000,10966945000
2008-09-04,574.00,577.00,559.00,566.00,15246000,8651934000
2008-09-03,573.00,576.00,559.00,564.00,9665000,5478517000
2008-09-02,565.00,588.00,560.00,566.00,14623000,8388060000
2008-09-01,577.00,583.00,563.00,563.00,6828000,3895115000
2008-08-29,575.00,593.00,574.00,587.00,11386000,6640552000
2008-08-28,572.00,573.00,565.00,568.00,9078000,5162600000
2008-08-27,577.00,577.00,558.00,562.00,8593000,4845818000
2008-08-26,557.00,575.00,550.00,573.00,9094000,5149022000
2008-08-25,555.00,561.00,552.00,559.00,7733000,4308425000
2008-08-22,552.00,556.00,542.00,547.00,7974000,4374527000
2008-08-21,566.00,566.00,549.00,550.00,8570000,4772197000
2008-08-20,553.00,562.00,545.00,556.00,9985000,5555602000
2008-08-19,581.00,585.00,553.00,554.00,13582000,7618680000
2008-08-18,587.00,598.00,580.00,580.00,8761000,5149533000
2008-08-15,579.00,596.00,576.00,595.00,9233000,5405764000
2008-08-14,587.00,595.00,581.00,587.00,13932000,8206654000
2008-08-13,593.00,596.00,582.00,588.00,12197000,7177147000
2008-08-12,608.00,611.00,584.00,587.00,11033000,6555579000
2008-08-11,609.00,613.00,599.00,606.00,7646000,4635241000
2008-08-08,574.00,598.00,568.00,589.00,13795000,8087411000
2008-08-07,614.00,614.00,574.00,574.00,12016000,7092637000
2008-08-06,580.00,594.00,577.00,594.00,14962000,8792365000
2008-08-05,554.00,573.00,551.00,554.00,12868000,7211237000
2008-08-04,588.00,591.00,550.00,552.00,17643000,9920153000
2008-08-01,610.00,623.00,602.00,605.00,9965000,6073008000
2008-07-31,638.00,642.00,596.00,626.00,11641000,7146960000
2008-07-30,619.00,625.00,613.00,623.00,11180000,6922220000
2008-07-29,610.00,610.00,591.00,603.00,9934000,5940936000
2008-07-28,626.00,640.00,615.00,619.00,8408000,5249436000
2008-07-25,640.00,641.00,626.00,627.00,12687000,8056384000
2008-07-24,626.00,672.00,619.00,660.00,24780000,16150178000
2008-07-23,616.00,624.00,609.00,620.00,10126000,6258438000
2008-07-22,609.00,614.00,596.00,610.00,10792000,6505504000
2008-07-18,622.00,626.00,604.00,608.00,15465000,9506401000
2008-07-17,610.00,621.00,609.00,615.00,14779000,9106224000
2008-07-16,586.00,598.00,574.00,596.00,13905000,8179459000
2008-07-15,601.00,602.00,585.00,586.00,7946000,4700247000
2008-07-14,605.00,619.00,600.00,604.00,10657000,6492535000
2008-07-11,593.00,616.00,589.00,607.00,19178000,11573382000
