日付,始値,高値,安値,終値,出来高,売買代金
2015-12-30,2545.00,2561.50,2524.00,2524.00,3773500,9585709800
2015-12-29,2524.50,2538.00,2480.00,2535.00,4150400,10447546350
2015-12-28,2469.00,2545.50,2468.00,2532.00,4841400,12223612450
2015-12-25,2465.00,2497.00,2442.50,2467.50,4069500,10037294450
2015-12-24,2490.00,2535.00,2480.00,2483.00,5539000,13871605100
2015-12-22,2505.00,2516.00,2466.00,2468.00,5862200,14556978200
2015-12-21,2477.50,2520.00,2460.50,2510.00,6030200,14997757650
2015-12-18,2544.50,2604.00,2500.00,2507.50,9466200,24054883350
2015-12-17,2589.00,2596.50,2534.00,2537.50,5970200,15341806950
2015-12-16,2474.00,2527.00,2457.50,2515.50,5932400,14805621450
2015-12-15,2480.00,2485.00,2423.50,2431.00,5556900,13616450300
2015-12-14,2495.00,2500.00,2420.50,2474.00,8762500,21578806850
2015-12-11,2542.00,2569.00,2530.50,2569.00,6569800,16768578850
2015-12-10,2546.50,2559.00,2514.00,2518.00,6531000,16505761800
2015-12-09,2506.00,2597.50,2500.00,2589.00,7777000,19936611700
2015-12-08,2618.50,2637.50,2583.50,2587.50,6469400,16850679050
2015-12-07,2597.00,2623.00,2578.00,2598.50,4235000,11040391000
2015-12-04,2584.50,2605.00,2558.00,2567.50,7824900,20178450650
2015-12-03,2640.00,2646.00,2619.50,2635.50,4777400,12577381000
2015-12-02,2621.00,2650.00,2614.50,2645.00,7439700,19622636100
2015-12-01,2587.50,2620.00,2563.50,2620.00,8300900,21597168350
2015-11-30,2560.00,2584.00,2544.00,2557.50,6589100,16907267200
2015-11-27,2537.00,2554.00,2532.00,2537.00,3575100,9081457500
2015-11-26,2551.00,2555.00,2536.00,2538.50,4062600,10331641400
2015-11-25,2570.00,2583.00,2540.00,2551.00,6436200,16449791050
2015-11-24,2535.00,2593.00,2516.50,2589.50,8482700,21777788150
2015-11-20,2510.00,2536.50,2509.50,2530.50,5063900,12766050500
2015-11-19,2550.00,2555.00,2511.00,2531.50,5658200,14358866650
2015-11-18,2525.00,2545.00,2516.00,2524.00,5943400,15057262350
